Facility_INSPIRE_ID;parentCompanyName;nameOfFeature;mainActivityCode;mainActivityName;pointGeometryLon;pointGeometryLat;streetName;buildingNumber;postalCode;city;countryCode;telephoneNo
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014036.ProductionFacility;Salon Hyötykäyttö Oy;Salon Hyötykäyttö Oy, Jätteenkäsittelylaitos;MISSING;;23.10497;60.37328;Satamakatu;31;24100;Salo;FI;0295022500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014037.ProductionFacility;Broilerinlihan tuotanto, sianlihan tuotanto, Kokemäki;Broilerinlihan tuotanto, sianlihan tuotanto, Kokemäki;7(a)(i);Installations for the intensive rearing of poultry with 40,000 places for poultry;22.28904;61.22176;Uudismaantie;44;32810;Peipohja;FI;0295022500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014040.ProductionFacility;Aurajoki Oy;Aurajoki Oy, Turun tehdas;2(f);Installations for surface treatment of metals and plastic materials using an electrolytic or chemical process;22.33704;60.49221;Kaviokuja;4;20380;Turku;FI;0295022500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014077.ProductionFacility;Tibunet Oy;Tibunet Oy, Broilerinlihan tuotanto, Nousiainen;7(a)(i);Installations for the intensive rearing of poultry with 40,000 places for poultry;22.04369;60.58199;Laaleistentie;146;21270;Nousiainen;FI;0295022500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014084.ProductionFacility;Broilerinlihan tuotanto, Oripää;Broilerinlihan tuotanto, Oripää;7(a)(i);Installations for the intensive rearing of poultry with 40,000 places for poultry;22.6982;60.85993;Salamäentie;48;32500;Oripää;FI;0295022500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014113.ProductionFacility;Sianlihan tuotanto, Pöytyä;Sianlihan tuotanto, Pöytyä;7(a)(ii);Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg);22.67442;60.82163;Turuntie;1892;21890;Haveri;FI;0295022500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014139.ProductionFacility;Broilerlihantuotanto, Kokemäki;Broilerlihantuotanto, Kokemäki;7(a)(i);Installations for the intensive rearing of poultry with 40,000 places for poultry;22.51498;61.26532;Kyttälän kylätie;262;32800;Kokemäki;FI;0295022500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014155.ProductionFacility;Broilerinlihan tuotanto, Loimaa;Broilerinlihan tuotanto, Loimaa;7(a)(i);Installations for the intensive rearing of poultry with 40,000 places for poultry;22.92817;60.91086;Vakkatie;871;32210;Loimaa;FI;0295022500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014169.ProductionFacility;Broilerinlihan tuotanto, Oripää;Broilerinlihan tuotanto, Oripää;7(a)(i);Installations for the intensive rearing of poultry with 40,000 places for poultry;22.76592;60.85846;Käinäntie;137;32410;Niinijoki;FI;0295022500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014199.ProductionFacility;Suomen Teollisuuden Energiapalvelut - STEP Oy;Suomen Teollisuuden Energiapalvelut - STEP Oy, Harjavallan energiantuotantolaitokset;1(c);Thermal power stations and other combustion installations;22.12168;61.32001;Teollisuuskatu;1;29200;Harjavalta;FI;0295022500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014211.ProductionFacility;Stena Recycling Oy;Stena Recycling Oy, Peittoonkorven kaatopaikka;5(d);Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired);21.65343;61.632;Ekokorventie;110;29700;Ahlainen;FI;0295022500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014222.ProductionFacility;Broilerlihan tuotanto, Säkylä;Broilerlihan tuotanto, Säkylä;7(a)(i);Installations for the intensive rearing of poultry with 40,000 places for poultry;22.31654;61.06188;Rantatie;399;27800;Säkylä;FI;0295022500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014228.ProductionFacility;Partelan Porsas Oy;Partelan Porsas Oy, Porsastuotanto, Koski Tl;7(a)(iii);Installations for the intensive rearing of pigs with 750 places for sows;23.06239;60.66274;Turuntie;310;31500;Koski tl;FI;0295022500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014254.ProductionFacility;Broilerinlihan tuotanto, Koski Tl;Broilerinlihan tuotanto, Koski Tl;7(a)(i);Installations for the intensive rearing of poultry with 40,000 places for poultry;23.10829;60.63031;Liipolantie;45;31500;Koski tl;FI;0295022500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014261.ProductionFacility;DHF Breeder Production Oy;DHF Breeder Production Oy, Broilerinlihan tuotanto, Masku, Kukkometsä;7(a)(i);Installations for the intensive rearing of poultry with 40,000 places for poultry;22.14059;60.57246;Hehkontie;60;21250;Masku;FI;0295022500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014270.ProductionFacility;Koskinasula Oy;Koskinasula Oy, Porsastuotanto, Huittinen;7(a)(iii);Installations for the intensive rearing of pigs with 750 places for sows;22.6369;61.06627;Vähäjoentie;255;32620;Rutava;FI;0295022500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014286.ProductionFacility;Isoniitun Lintu Oy;Isoniitun Lintu Oy, Broilerinlihan tuotanto, Pöytyä;7(a)(i);Installations for the intensive rearing of poultry with 40,000 places for poultry;22.76117;60.65892;Heikinsuontie;184;21840;Karinainen;FI;0295022500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014289.ProductionFacility;Cika Oy;Cika Oy, Sianlihan tuotanto, Vehmaa;7(a)(ii);Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg);21.56437;60.66721;Mikolantie;16;23200;Vinkkilä;FI;0295022500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014328.ProductionFacility;PIRKAN KOVAKROMAUS OY;PIRKAN KOVAKROMAUS OY, Metalliteollisuus;2(f);Installations for surface treatment of metals and plastic materials using an electrolytic or chemical process;23.76793;61.46486;LEMPÄÄLÄNKUJA;5;33840;Tampere;FI;0295036000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014346.ProductionFacility;Oy Linde Gas Ab;Oy Linde Gas Ab, Riihimäen tuotantolaitos;4(a)(i);Chemical installations for the production on an industrial scale of basic organic chemicals: Simple hydrocarbons (linear or cyclic, saturated or unsaturated, aliphatic or aromatic);24.79549;60.76794;Agantie;2;11310;Riihimäki;FI;0295025000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014364.ProductionFacility;Ongelmajätepalvelu Mäentie Oy;Ongelmajätepalvelu Mäentie Oy, Ongelmajätepalvelu Mäentie Oy, Hollola;5(a);Installations for the recovery or disposal of hazardous waste;25.49103;60.98118;Uurastajantie;4;15880;Hollola;FI;0295025000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014365.ProductionFacility;LASSILA & TIKANOJA OYJ;LASSILA & TIKANOJA OYJ, VIILAAJANKATU, LAHTI;5(a);Installations for the recovery or disposal of hazardous waste;25.6891;60.96449;Viilaajankatu;11;15520;Lahti;FI;0295025000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014377.ProductionFacility;LASSILA & TIKANOJA OYJ;LASSILA & TIKANOJA OYJ, Hepolamminkatu 38, Vaaralliset jätteet;5(a);Installations for the recovery or disposal of hazardous waste;23.87066;61.45715;Hepolamminkatu;38;33720;Tampere;FI;0295036000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014415.ProductionFacility;PIRKANMAAN JÄTEHUOLTO OY;PIRKANMAAN JÄTEHUOLTO OY, Tarastenjärven jätteenkäsittelykeskus;5(d);Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired);23.9836;61.54437;Hyötyvoimankuja;2;33680;Tampere;FI;0295036000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014553.ProductionFacility;Loimi Kierto Oy;Loimi Kierto Oy, Loimi Kierto Oy;5(c);Installations for the disposal of non-hazardous waste;23.58543;60.7878;Voimalakatu;56;30420;Forssa;FI;0295025000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014593.ProductionFacility;Stena Recycling Oy;Stena Recycling Oy, Stena Recycling Oy, Riihimäki;5(a);Installations for the recovery or disposal of hazardous waste;24.78537;60.72435;Pajakatu -;79;11130;Riihimäki;FI;0295025000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014695.ProductionFacility;LAHTI ENERGIA OY;LAHTI ENERGIA OY, MIEKAN TUHKAN KAATOPAIKKA;5(d);Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired);25.77353;60.94663;Miekantie;22;15140;Lahti;FI;0295025000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014746.ProductionFacility;KASTARIN PORSAS OY;KASTARIN PORSAS OY, Porsastuotantosikala;7(a)(iii);Installations for the intensive rearing of pigs with 750 places for sows;25.24934;61.02384;Kaunkorventie;651;15870;Hollola;FI;0295025000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014753.ProductionFacility;Padaspekoni Oy;Padaspekoni Oy, Porsastuotantosikala;7(a)(iii);Installations for the intensive rearing of pigs with 750 places for sows;25.29946;61.28116;Kaalisuontie;100;17470;Maakeski;FI;0295025000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014754.ProductionFacility;TUITTULAN PEKONI OY;TUITTULAN PEKONI OY, Porsastuotanto;7(a)(iii);Installations for the intensive rearing of pigs with 750 places for sows;24.62411;61.12063;Huhtaniityntie;150;14700;Hauho;FI;0295025000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014799.ProductionFacility;Versowood Oy;Versowood Oy, Riihimäen yksikkö;MISSING;;24.77947;60.72795;Teollisuuskatu;1;11130;Riihimäki;FI;0295025000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014899.ProductionFacility;OY SPECIALTY MINERALS NORDIC AB, TERVAKOSKEN TEHDAS;OY SPECIALTY MINERALS NORDIC AB, TERVAKOSKEN TEHDAS, Tervakosken tehdas;4(b)(iv);Chemical installations for the production on an industrial scale of basic inorganic chemicals: Salts, such as ammonium chloride, potassium chlorate, potassium carbonate, sodium carbonate, perborate, silver nitrate;24.63051;60.81357;Vähikkäläntie;1;12400;Tervakoski;FI;0295025000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000014919.ProductionFacility;Lahden Sähkösinkitys Oy;Lahden Sähkösinkitys Oy, Lahden Sähkösinkitys Oy, Lahti;2(f);Installations for surface treatment of metals and plastic materials using an electrolytic or chemical process;25.71221;60.99371;Voimakatu;6;15170;Lahti;FI;0295025000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000015193.ProductionFacility;Oy Linde Gas Ab;Oy Linde Gas Ab, Hämeenlinnan Vetytehdas;4(b)(i);Chemical installations for the production on an industrial scale of basic inorganic chemicals: Gases, such as ammonia, chlorine or hydrogen chloride, fluorine or hydrogen fluoride, carbon oxides, sulphur compounds, nitrogen oxides, hydrogen, sulphur dioxide, carbonyl chloride;24.53981;60.96984;Rautaruukintie;2;13300;Hämeenlinna;FI;0295025000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000015212.ProductionFacility;Fortum Waste Solutions Oy;Fortum Waste Solutions Oy, Agantien toimipiste;5(a);Installations for the recovery or disposal of hazardous waste;24.79826;60.76908;Agantie;3;11310;Riihimäki;FI;0295025000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000015634.ProductionFacility;OY HARTWALL AB;OY HARTWALL AB, Hartwall Lahti;8(b)(ii);Treatment and processing intended for the production of food and beverage products from vegetable raw materials;25.70442;60.96752;Kasaajankatu;13;15520;Lahti;FI;0295025000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000015758.ProductionFacility;LASSILA & TIKANOJA OYJ;LASSILA & TIKANOJA OYJ, LIIMAAJANKATU 2, LAHTI;MISSING;;25.69791;60.96501;Liimaajankatu;2;15520;Lahti;FI;0295025000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000015810.ProductionFacility;Fingrid Oyj;Fingrid Oyj, Hämeenlinnan Vanajan varavoimalaitos  ;1(c);Thermal power stations and other combustion installations;24.50501;60.97309;Voimatie;32;13110;Hämeenlinna;FI;0295025000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000015952.ProductionFacility;Bellmer Finland Oy;Bellmer Finland Oy, Bellmer Finland Oy;2(f);Installations for surface treatment of metals and plastic materials using an electrolytic or chemical process;25.54005;60.99187;Vanha Messiläntie;6;15860;Hollola;FI;0295025000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000016028.ProductionFacility;Kotkan Energia Oy;Kotkan Energia Oy, Hovinsaaren voimalaitos;1(c);Thermal power stations and other combustion installations;26.91692;60.47105;Liitulahdentie;10;48210;Kotka;FI;0295029000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000016032.ProductionFacility;Omya Oy;Omya Oy, Imatran tehdas;4(b)(iv);Chemical installations for the production on an industrial scale of basic inorganic chemicals: Salts, such as ammonium chloride, potassium chlorate, potassium carbonate, sodium carbonate, perborate, silver nitrate;28.86135;61.25036;Kattilatie;15;55800;Imatra;FI;0295029000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000016047.ProductionFacility;Lassila & Tikanoja Oyj;Lassila & Tikanoja Oyj, Kotkan toimipiste;5(a);Installations for the recovery or disposal of hazardous waste;26.92235;60.48313;Hovinsaarentie;11;48200;Kotka;FI;0295029000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000016048.ProductionFacility;Kuusakoski Oy;Kuusakoski Oy, Kotkan palvelupiste;5(c);Installations for the disposal of non-hazardous waste;26.90848;60.44018;Jänskäntie;9;48310;Kotka;FI;0295029000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000016079.ProductionFacility;Kekkilä Oy;Kekkilä Oy, Joutsenon kompostointilaitos;5(c);Installations for the disposal of non-hazardous waste;28.42766;61.04662;Hulkonmäentie;130;54190;Konnunsuo;FI;0295029000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000016124.ProductionFacility;Kymenlaakson Jäte Oy;Kymenlaakson Jäte Oy, Keltakankaan jätekeskus;5(c);Installations for the disposal of non-hazardous waste;26.86326;60.74416;Ekokaari;50;46860;Keltakangas;FI;0295029000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000016126.ProductionFacility;Etelä-Karjalan Jätehuolto Oy;Etelä-Karjalan Jätehuolto Oy, Jätekeskus;5(d);Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired);28.42766;61.04662;Hulkonmäentie;130;54190;Konnunsuo;FI;0295029000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000016166.ProductionFacility;Mustola Timber Oy;Mustola Timber Oy, Lappeenrannan saha;6(c);Industrial plants for the preservation of wood and wood products with chemicals;28.34609;61.0523;TERMINAALIKATU;20;53420;Lappeenranta;FI;0295029000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000016221.ProductionFacility;Oy Phoenix Collector Ltd;Oy Phoenix Collector Ltd, Haminan laitos;5(a);Installations for the recovery or disposal of hazardous waste;27.16258;60.52261;Öljysatamantie;11;49460;Hamina;FI;0295029000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000016229.ProductionFacility;Wienerberger Oy Ab;Wienerberger Oy Ab, Korian tiilitehdas;3(g);Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain;26.57663;60.84605;Tiilitehtaantie;60;45610;Koria;FI;0295029000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000016248.ProductionFacility;Kymin Voima Oy;Kymin Voima Oy, Energiantuotanto;1(c);Thermal power stations and other combustion installations;26.66629;60.90683;Selluntie;3;45700;Kuusankoski;FI;0295029000
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000016295.ProductionFacility;BASF Oy;BASF Oy, Production Unit Hamina;4(a)(viii);Chemical installations for the production on an industrial scale of basic organic chemicals: Basic plastic materials (polymers, synthetic fibres and cellulose-based fibres);27.1455;60.5249;Kaasusatamantie;6;49460;Hamina;FI;0295029000
